Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,202.350006,206.699997,201.300003,206.100006,206.100006,2517557
2019-04-05,208.0,209.5,202.449997,205.75,205.75,2604595
2019-04-08,206.5,207.100006,198.5,200.649994,200.649994,1540837
2019-04-09,200.399994,207.550003,198.050003,206.0,206.0,1955605
2019-04-10,206.399994,216.850006,205.75,215.649994,215.649994,4318623
2019-04-11,216.600006,219.25,213.30000299999998,218.19999700000002,218.19999700000002,2539043
2019-04-12,219.0,219.25,215.05000299999998,215.850006,215.850006,1246873
2019-04-15,216.0,232.5,216.0,231.05000299999998,231.05000299999998,3973896
2019-04-16,234.55000299999998,234.55000299999998,225.69999700000002,230.55000299999998,230.55000299999998,2618949
2019-04-18,232.0,239.30000299999998,230.44999700000002,235.899994,235.899994,2879775
2019-04-22,235.899994,239.100006,231.75,234.649994,234.649994,1869644
2019-04-23,235.19999700000002,235.75,230.350006,231.399994,231.399994,1214691
2019-04-24,233.0,233.05000299999998,217.94999700000002,223.69999700000002,223.69999700000002,3204172
2019-04-25,224.25,225.850006,220.25,221.69999700000002,221.69999700000002,1626877
2019-04-26,222.0,222.100006,214.05000299999998,215.399994,215.399994,1818247
2019-04-30,215.55000299999998,218.600006,210.350006,214.19999700000002,214.19999700000002,1304285
2019-05-02,212.899994,212.899994,205.949997,207.149994,207.149994,1508324
2019-05-03,204.899994,213.69999700000002,203.199997,209.5,209.5,2125057
2019-05-06,205.0,205.0,198.25,200.100006,200.100006,1876338
2019-05-07,201.699997,202.800003,189.350006,190.899994,190.899994,1661163
2019-05-08,190.5,190.899994,184.25,185.550003,185.550003,1431240
2019-05-09,183.600006,189.899994,182.5,185.800003,185.800003,1884560
2019-05-10,188.0,190.449997,184.399994,186.0,186.0,1990534
2019-05-13,186.399994,186.899994,179.300003,180.25,180.25,1239156
2019-05-14,178.5,185.800003,177.899994,184.350006,184.350006,1487628
2019-05-15,185.949997,186.0,167.5,169.600006,169.600006,2235133
2019-05-16,175.050003,177.399994,172.800003,175.5,175.5,1540688
2019-05-17,175.25,177.649994,170.199997,176.699997,176.699997,1197191
2019-05-20,182.0,191.949997,179.350006,190.0,190.0,2433787
2019-05-21,186.600006,186.899994,174.100006,176.600006,176.600006,4238136
2019-05-22,177.300003,180.399994,174.899994,179.449997,179.449997,1627939
2019-05-23,183.75,183.75,173.300003,175.0,175.0,2016592
2019-05-24,178.0,183.399994,175.5,182.149994,182.149994,1780051
2019-05-27,182.050003,183.550003,179.300003,181.350006,181.350006,1116689
2019-05-28,181.699997,185.399994,180.0,180.75,180.75,1372157
2019-05-29,180.399994,180.399994,175.449997,176.300003,176.300003,1136419
2019-05-30,176.649994,178.600006,173.300003,175.050003,175.050003,1247352
2019-05-31,176.5,177.600006,170.100006,172.5,172.5,1392833
2019-06-03,170.0,175.100006,168.600006,174.550003,174.550003,1562623
2019-06-04,174.0,177.0,172.550003,173.399994,173.399994,962279
2019-06-06,174.100006,175.699997,169.0,169.800003,169.800003,1274390
2019-06-07,170.5,171.699997,167.25,169.399994,169.399994,1083012
2019-06-10,170.5,172.0,163.550003,166.149994,166.149994,1539964
2019-06-11,167.899994,171.850006,165.800003,170.649994,170.649994,1180007
2019-06-12,171.0,172.0,168.149994,169.0,169.0,796511
2019-06-13,166.0,168.800003,164.5,167.399994,167.399994,955719
2019-06-14,167.399994,167.649994,163.25,164.100006,164.100006,905868
2019-06-17,164.050003,164.100006,158.0,158.850006,158.850006,996593
2019-06-18,159.0,160.949997,156.800003,158.300003,158.300003,1082680
2019-06-19,159.600006,163.699997,152.5,154.649994,154.649994,1719082
2019-06-20,153.0,159.899994,152.100006,159.149994,159.149994,1359471
2019-06-21,154.899994,160.75,154.550003,159.0,159.0,1313159
2019-06-24,159.300003,160.149994,156.300003,159.25,159.25,1048423
2019-06-25,158.399994,160.899994,156.800003,160.5,160.5,1126088
2019-06-26,160.399994,162.199997,158.800003,161.100006,161.100006,1060473
2019-06-27,162.0,167.899994,161.100006,165.850006,165.850006,1512713
2019-06-28,165.649994,166.800003,161.399994,162.600006,162.600006,1067539
2019-07-01,163.75,169.350006,163.25,167.850006,167.850006,1376245
2019-07-02,167.0,167.25,161.350006,163.699997,163.699997,950852
2019-07-03,163.699997,165.0,161.75,162.350006,162.350006,941947
2019-07-04,162.699997,167.800003,162.100006,165.199997,165.199997,1482509
2019-07-05,165.850006,166.899994,159.600006,160.149994,160.149994,1081086
2019-07-08,159.600006,159.600006,153.5,154.649994,154.649994,1027817
2019-07-09,154.0,157.149994,152.649994,155.75,155.75,1212001
2019-07-10,156.050003,156.300003,149.149994,151.399994,151.399994,2137778
2019-07-11,153.350006,157.649994,150.399994,156.899994,156.899994,1818655
2019-07-12,156.399994,162.699997,153.949997,159.300003,159.300003,1654697
2019-07-15,159.5,162.600006,157.800003,160.949997,160.949997,1010589
2019-07-16,160.199997,170.899994,159.350006,169.850006,169.850006,2071726
2019-07-17,170.0,172.399994,166.300003,167.850006,167.850006,1413456
2019-07-18,167.699997,167.699997,160.100006,160.800003,160.800003,1133938
2019-07-19,162.0,162.5,153.899994,154.800003,154.800003,1378105
2019-07-22,155.050003,159.25,155.050003,156.699997,156.699997,1221780
2019-07-23,157.050003,159.0,154.800003,156.199997,156.199997,730430
2019-07-24,156.600006,157.5,150.399994,151.25,151.25,995479
2019-07-25,151.699997,152.550003,143.75,144.350006,144.350006,2065053
2019-07-26,138.149994,150.050003,138.149994,147.199997,147.199997,4307935
2019-07-29,148.5,148.5,136.949997,137.600006,137.600006,2455452
2019-07-30,138.399994,139.699997,132.600006,133.449997,133.449997,1969623
2019-07-31,134.449997,136.300003,132.5,135.600006,135.600006,1498182
2019-08-01,135.800003,136.25,127.599998,129.5,129.5,2930418
2019-08-02,128.899994,133.199997,126.800003,130.600006,130.600006,2561175
2019-08-05,127.949997,128.0,122.400002,123.75,123.75,2667848
2019-08-06,122.349998,126.5,121.849998,122.550003,122.550003,2524258
2019-08-07,122.550003,123.800003,116.400002,117.400002,117.400002,3204358
2019-08-08,117.650002,124.949997,116.949997,123.949997,123.949997,2522247
2019-08-09,124.650002,126.5,120.699997,122.050003,122.050003,3331629
2019-08-13,124.0,126.349998,121.0,122.0,122.0,2602763
2019-08-14,122.300003,123.800003,118.599998,120.849998,120.849998,1927978
2019-08-16,120.0,122.400002,117.400002,121.199997,121.199997,2166532
2019-08-19,121.5,122.400002,120.0,120.75,120.75,1765704
2019-08-20,119.949997,124.800003,119.099998,123.800003,123.800003,2273178
2019-08-21,123.5,123.5,109.550003,112.300003,112.300003,4689886
2019-08-22,112.199997,114.0,106.199997,107.650002,107.650002,2938664
2019-08-23,109.5,111.650002,107.699997,111.150002,111.150002,2780239
2019-08-26,115.650002,115.650002,106.900002,110.5,110.5,3503995
2019-08-27,112.300003,121.400002,111.75,120.300003,120.300003,4260357
2019-08-28,120.75,124.050003,114.75,116.349998,116.349998,4908228
2019-08-29,116.349998,118.449997,112.099998,114.349998,114.349998,4019911
2019-08-30,115.0,117.099998,112.050003,116.75,116.75,3112120
2019-09-03,111.650002,115.150002,111.400002,112.650002,112.650002,2167576
2019-09-04,112.199997,113.0,106.0,109.5,109.5,4774455
2019-09-05,110.0,119.199997,109.5,118.050003,118.050003,5909050
2019-09-06,118.599998,122.199997,116.650002,121.099998,121.099998,4378366
2019-09-09,119.400002,122.5,117.300003,121.900002,121.900002,3770270
2019-09-11,124.5,135.0,124.5,134.350006,134.350006,5801021
2019-09-12,134.550003,135.300003,126.800003,127.949997,127.949997,3956061
2019-09-13,129.300003,131.0,125.5,129.550003,129.550003,4657739
